team,played,win,draw,loss,GF,GA,Gdiff,Gper,pts,bonusPts,finalsWin,finalsLoss,year,coach,minorPremiership,premiership,runnerUp,competition
Swifts,13,4,0,9,652,672,-20,97.0,8,,,,2013,Lisa Beehag,No,No,No,ANZC
Tactix,13,2,0,11,700,882,-182,79.4,4,,,,2013,Leigh Gibbs,No,No,No,ANZC
Mystics,13,1,0,12,699,879,-180,79.5,2,,,,2013,Ruth Aitken,No,No,No,ANZC
Vixens,13,9,0,4,746,592,154,126.0,18,,2.0,,2014,Simone McKinnis,Yes,Yes,No,ANZC
Firebirds,13,9,0,4,694,623,71,111.4,18,,1.0,2.0,2014,Roselee Jencke,No,No,Yes,ANZC
Swifts,13,9,0,4,707,652,55,108.4,18,,,1.0,2014,Rob Wright,No,No,No,ANZC
Magic,13,8,0,5,727,672,55,108.2,16,,1.0,1.0,2014,Julie Fitzgerald,No,No,No,ANZC
Steel,13,7,0,6,792,809,-17,97.9,14,,,,2014,Janine Southby,No,No,No,ANZC
Pulse,13,7,0,6,658,675,-17,97.5,14,,,,2014,Robyn Broughton,No,No,No,ANZC
Mystics,13,6,0,7,706,752,-46,93.9,12,,,,2014,Debbie Fuller,No,No,No,ANZC
Thunderbirds,13,5,0,8,663,706,-43,93.9,10,,,,2014,Jane Woodlands-Thompson,No,No,No,ANZC
Fever,13,4,0,9,689,724,-35,95.2,8,,,,2014,Stacey Marinkovich,No,No,No,ANZC
Tactix,13,1,0,12,694,871,-177,79.7,2,,,,2014,Leigh Gibbs,No,No,No,ANZC
Firebirds,13,11,1,1,708,608,100,116.4,23,,3.0,,2015,Roselee Jencke,Yes,Yes,No,ANZC
Swifts,13,8,3,2,746,665,81,112.2,19,,2.0,2.0,2015,Rob Wright,No,No,Yes,ANZC
Fever,13,9,1,3,744,701,43,106.1,19,,,1.0,2015,Stacey Marinkovich,No,No,No,ANZC
Vixens,13,7,0,6,670,657,13,102.0,14,,,,2015,Simone McKinnis,No,No,No,ANZC
Thunderbirds,13,4,2,7,667,682,-15,97.8,10,,,,2015,Jane Woodlands-Thompson,No,No,No,ANZC
Mystics,13,7,2,4,682,695,-13,98.1,16,,,2.0,2015,Debbie Fuller,No,No,No,ANZC
Magic,13,5,1,7,643,663,-20,97.0,11,,2.0,1.0,2015,Julie Fitzgerald,No,No,No,ANZC
Steel,13,3,2,8,759,775,-16,97.9,8,,,1.0,2015,Janine Southby,No,No,No,ANZC
Pulse,13,3,2,8,620,656,-36,94.5,8,,,,2015,Robyn Broughton,No,No,No,ANZC
Tactix,13,1,0,12,664,801,-137,82.9,2,,,,2015,Sue Hawkins,No,No,No,ANZC
Firebirds,13,11,0,2,796,656,140,121.3,22,,3.0,,2016,Roselee Jencke,No,Yes,No,ANZC
Swifts,13,10,1,2,828,670,158,123.6,21,,2.0,2.0,2016,Rob Wright,No,No,Yes,ANZC
Vixens,13,8,0,5,731,679,52,107.7,16,,,1.0,2016,Simone McKinnis,No,No,No,ANZC
Fever,13,7,0,6,756,707,49,106.9,14,,,,2016,Stacey Marinkovich,No,No,No,ANZC
Thunderbirds,13,2,0,11,660,775,-115,85.2,4,,,,2016,Michelle den Dekker,No,No,No,ANZC
Steel,13,11,2,0,852,732,120,116.4,24,,,2.0,2016,Noeline Taurua,Yes,No,No,ANZC
Magic,13,6,0,7,665,755,-90,88.1,12,,2.0,1.0,2016,Julie Fitzgerald,No,No,No,ANZC
Mystics,13,3,1,9,674,743,-69,90.7,7,,,1.0,2016,Debbie Fuller,No,No,No,ANZC
Tactix,13,2,1,10,708,825,-117,85.8,5,,,,2016,Sue Hawkins,No,No,No,ANZC
Pulse,13,2,1,10,676,804,-128,84.1,5,,,,2016,Tanya Dearns,No,No,No,ANZC
Vixens,14,11,1,2,874,774,100,118.0,23,,,2.0,2017,Simone McKinnis,Yes,No,No,SSN
Lightning,14,11,1,2,808,726,82,111.0,23,,2.0,,2017,Noeline Taurua,No,Yes,No,SSN
Giants,14,10,0,4,773,728,45,106.0,20,,2.0,1.0,2017,Julie Fitzgerald,No,No,Yes,SSN
Magpies,14,9,0,5,770,730,40,106.0,18,,,1.0,2017,Kristy Keppich-Birrell,No,No,No,SSN
