matchNo,team,opponent,matchType,name,courtPosition_Q1,courtPosition_Q2,courtPosition_Q3,courtPosition_Q4,minutesPlayed,goalsScored,goalsAttempted,shootingPer,goalAssists,feeds,centrePassReceives,gains,intercepts,deflections,attackingRebounds,defensiveRebounds,pickups,contactPenalties,obstructionPenalties,offsides,badHands,footwork,otherError
19,England,Uganda,Pool,HARTEN Joanne,,,GS,GS,30,14,17,82,4,4,,,,,,,,,,,1,,
19,England,Uganda,Pool,HOUSBY Helen,GA,GA,GA,GA,45,15,15,100,8,8,17,1,1,2,,,2,1,4,,2,1,
19,England,Uganda,Pool,MALCOLM Laura,,,C,C,30,,,,10,14,,,,1,,,1,6,,,1,,
19,England,Uganda,Pool,MENTOR Geva,GK,GK,GK,GK,45,,,,,,,5,2,4,,1,5,6,5,,,,
19,England,Uganda,Pool,METCALF Natalie,WA,WA,WA,WA,55,,,,19,29,13,,,2,,,3,3,,,,,
19,England,Uganda,Pool,USORO-BROWN Eboni,,,,GK,15,,,,,,,1,,,,,1,4,,,,,
19,Uganda,England,Pool,ACHAN Jesca,C,C,WA,WA,51,,,,7,12,,,,,,,,3,,,,,1
19,Uganda,England,Pool,BAAGALA Margret,,,C,C,21,,,,7,11,,,,1,,,,4,1,,,,
19,Uganda,England,Pool,CHOLHOK Mary Nuba,,GS,GS,GS,19,6,7,86,2,2,,,,,1,,,,,,1,,
19,Uganda,England,Pool,EYARU Irene,GA,GA,GA,GA,45,12,14,86,5,8,13,,,1,,,1,2,3,,1,,
19,Uganda,England,Pool,HANIISHA Muhameed Nakaate,,,,GK,15,,,,,,,1,,,,1,,3,3,,,,
19,Uganda,England,Pool,LUNKUSE Norah,,,,WA,9,,,,2,3,3,,,,,,,,,,,,
19,Uganda,England,Pool,NALWANJA Shaffie,GK,GK,GK,WD,60,,,,,,3,5,3,3,,,6,23,2,,1,,
19,Uganda,England,Pool,NAMBIRIGE Sandra Ruth,WD,WD,WD,WD,45,,,,,,1,,,3,,,2,7,4,,,,
19,Uganda,England,Pool,NAMPUNGU Joan,GD,GD,GD,GD,60,,,,,,9,3,1,2,,,3,13,10,,2,,1
19,Uganda,England,Pool,NASSANGA Shadiah Ssegujja,,,GS,GA,30,9,12,75,3,4,4,,,,,,,2,,1,,,
19,Uganda,England,Pool,OYELLA Stella,WA,WA,WA,,39,,,,7,13,9,2,2,1,,,4,1,,,1,,1
19,Uganda,England,Pool,PEACE Proscovia,GS,GS,,,26,8,9,89,,1,,,,,1,,,1,1,,,,
20,New Zealand,Trinidad and Tobago,Pool,BAPTISTE Aniecia,GD,GD,GD,,39,,,,,,7,,,1,,,,4,6,,1,,1
20,New Zealand,Trinidad and Tobago,Pool,BRUNO Tia,,,,,,,,,,,,,,,,,,,,,,,
20,New Zealand,Trinidad and Tobago,Pool,CASSIMY Janeisha,,WD,WD,WD,37,,,,,,1,,,,,,,9,,1,,1,
20,New Zealand,Trinidad and Tobago,Pool,COOPER Joelisa,GA,GA,GA,GA,60,13,15,87,6,6,2,,,,,,3,1,2,,2,,1
20,New Zealand,Trinidad and Tobago,Pool,DILLON Tianna,,,,,,,,,,,,,,,,,,,,,,,
20,New Zealand,Trinidad and Tobago,Pool,DOUGLAS Oprah,C,C,,,25,,,,1,2,,1,,,,,3,1,1,,2,,1
20,New Zealand,Trinidad and Tobago,Pool,GREENE Shaquanda,GK,GK,GK,GK,60,,,,,,,2,1,3,,,2,11,7,,,,
20,New Zealand,Trinidad and Tobago,Pool,HAGLEY Faith,,C,C,C,35,,,,5,8,,1,,,,,3,4,1,,2,,1
20,New Zealand,Trinidad and Tobago,Pool,HOLLINGSWORTH Tahirah,,,,,,,,,,,,,,,,,,,,,,,
20,New Zealand,Trinidad and Tobago,Pool,MCEACHRANE Jeresia,WD,WD,GD,GD,44,,,,,,6,1,,1,,1,1,8,3,,2,,1
20,New Zealand,Trinidad and Tobago,Pool,NOEL Afeisha,GS,GS,GS,GS,60,11,12,92,2,2,,,,,1,,,,,,,1,
20,New Zealand,Trinidad and Tobago,Pool,SEEMUNGAL Shantel,WA,WA,WA,WA,60,,,,8,14,25,,,,,,3,2,,1,2,,
20,Trinidad and Tobago,New Zealand,Pool,BAPTISTE Aniecia,GD,GD,GD,,39,,,,,,7,,,1,,,,4,6,,1,,1
20,Trinidad and Tobago,New Zealand,Pool,BRUNO Tia,,,,,,,,,,,,,,,,,,,,,,,
20,Trinidad and Tobago,New Zealand,Pool,CASSIMY Janeisha,,WD,WD,WD,37,,,,,,1,,,,,,,9,,1,,1,
