matchNo,team,opponent,matchType,name,courtPosition_Q1,courtPosition_Q2,courtPosition_Q3,courtPosition_Q4,minutesPlayed,goalsScored,goalsAttempted,shootingPer,goalAssists,feeds,centrePassReceives,gains,intercepts,deflections,attackingRebounds,defensiveRebounds,pickups,contactPenalties,obstructionPenalties,offsides,badHands,footwork,otherError
25,Jamaica,Australia,Pool,HEMMINGS Shadian Toni-ann,,,,,,,,,,,,,,,,,,,,,,,
25,Jamaica,Australia,Pool,NELSON Shimona,,,,,,,,,,,,,,,,,,,,,,,
25,Jamaica,Australia,Pool,ROBINSON Rebekah Theresa,,,,,,,,,,,,,,,,,,,,,,,
25,Jamaica,Australia,Pool,STERLING Shamera Shadae,GK,GK,GK,GK,60,,,,,,,4,1,4,,2,7,8,7,,2,,
25,Jamaica,Australia,Pool,THOMAS Adean Tamesha,,,WA,WA,15,,,,5,8,5,,,,,,1,1,,,,,
25,Jamaica,Australia,Pool,WARD Jodi-Ann,WD,WD,WD,WD,60,,,,,,6,5,2,4,,,5,7,5,,,,
25,Jamaica,Australia,Pool,WILLIAMS Khadijah Amoy,WA,WA,WA,WA,45,,,,9,11,7,1,,,,,2,1,,1,2,,1
25,Jamaica,Australia,Pool,WILSON Latanya Amoy,GD,GD,GD,GD,60,,,,,,3,1,,5,,,1,10,7,,,,
26,Wales,Barbados,Pool,CREAK Betsy,GA,GS,GS,GS,60,30,33,91,6,9,9,1,1,,1,,3,4,3,,,,
26,Wales,Barbados,Pool,DRANE Suzy,C,C,C,C,60,,,,17,27,,1,,1,,,3,7,2,,1,,
26,Wales,Barbados,Pool,DYKE Bethan,WA,WA,WA,WA,54,,,,25,42,15,2,1,,,,4,6,,,1,,
26,Wales,Barbados,Pool,JONES Clare,,,WD,WD,30,,,,,,1,5,3,4,,,2,6,,,,,
26,Wales,Barbados,Pool,JONES Nia,WD,WD,WD,,30,,,,,1,9,3,2,1,,,2,7,1,,,,
26,Wales,Barbados,Pool,O'DWYER Shona,,,,WA,6,,,,3,4,2,,,,,,,,,,,,
26,Wales,Barbados,Pool,POWELL-DAVIES Ella,GD,GD,GD,GD,60,,,,,1,9,6,4,7,,1,2,15,3,,,,
26,Wales,Barbados,Pool,ROBERTS Eleanor,,GA,GA,GA,31,9,14,64,7,8,5,,,,,,1,2,1,,,,
26,Wales,Barbados,Pool,ROWE Georgia,GS,GS,,,29,21,24,88,2,2,,,,,,,,2,1,,1,1,1
26,Wales,Barbados,Pool,SHAW Christina,GK,GK,,GK,44,,,,,,,1,,3,,,6,3,3,,,,
26,Wales,Barbados,Pool,THOMAS Leila,,GK,GK,GK,16,,,,,,,2,,1,,1,1,3,4,,,,
26,Wales,Barbados,Pool,YARRANTON Phillipa,,,,,,,,,,,,,,,,,,,,,,,
26,Barbados,Wales,Pool,AGARD Faye Yvette,,,,GS,6,4,5,80,,,,,,,,,,,,,,,
26,Barbados,Wales,Pool,AZORE-BRUCE Shonette Teshome Rashan,GK,GK,GK,GK,60,,,,,,,6,2,7,,2,4,7,2,,,,
26,Barbados,Wales,Pool,BLACKMAN Latonia Natasha Carolann,GA,GA,GA,GA,60,19,19,100,11,15,13,,,,1,,4,3,1,,,,
26,Barbados,Wales,Pool,BOBB Vanessa Naomi,,WD,WD,,17,,,,,1,1,,,,,,1,7,,1,,,1
26,Barbados,Wales,Pool,BROWNE Samantha Terri-ann Olivia,WD,WD,WD,WD,43,,,,,,7,2,,3,,,3,6,,1,1,,
26,Barbados,Wales,Pool,HOLDER Brianna Makala,WA,WA,WA,WA,60,,,,14,31,10,,,,,,2,6,,1,,,
26,Barbados,Wales,Pool,KIRTON Zakiya Winet,,,,,,,,,,,,,,,,,,,,,,,
26,Barbados,Wales,Pool,ROCK-YAW Tonisha Claradine,C,C,C,C,45,,,,8,11,,4,3,,,,3,9,1,,2,,1
26,Barbados,Wales,Pool,SHEPHERD Stephian Onesia Briana,,,,C,15,,,,1,3,,1,,1,,,2,2,,,1,,
26,Barbados,Wales,Pool,SMITH Sabreena Natasha,,,,,,,,,,,,,,,,,,,,,,,
26,Barbados,Wales,Pool,STOUTE Akeena Kelicia,GD,GD,GD,GD,60,,,,,,8,7,1,7,,3,3,10,6,,2,,
26,Barbados,Wales,Pool,WHARTON Shonica Deandra,GS,GS,GS,GS,54,21,27,78,8,7,,,,,,,,,,,2,,
27,Trinidad and Tobago,Northern Ireland,Pool,BAPTISTE Aniecia,GD,GD,GD,WD,51,,,,,,5,1,,3,,,2,10,3,,,,
27,Trinidad and Tobago,Northern Ireland,Pool,BRUNO Tia,,,,,,,,,,,,,,,,,,,,,,,
27,Trinidad and Tobago,Northern Ireland,Pool,CASSIMY Janeisha,WA,WA,WD,C,57,,,,8,14,4,1,,1,,,2,3,,,,,
27,Trinidad and Tobago,Northern Ireland,Pool,COOPER Joelisa,GA,GA,GA,,36,7,9,78,5,6,4,,,,,,,1,,,2,1,1
27,Trinidad and Tobago,Northern Ireland,Pool,DILLON Tianna,,,,,,,,,,,,,,,,,,,,,,,
27,Trinidad and Tobago,Northern Ireland,Pool,DOUGLAS Oprah,C,C,,WA,16,,,,3,6,1,,,,,,2,1,3,,2,,
27,Trinidad and Tobago,Northern Ireland,Pool,GREENE-NOEL Shaquanda,GK,GK,GK,GD,60,,,,,,2,14,2,4,,11,4,8,7,,,1,
27,Trinidad and Tobago,Northern Ireland,Pool,HAGLEY Faith,WD,C,C,WA,50,,,,6,10,1,,,,,,2,4,5,,,1,
27,Trinidad and Tobago,Northern Ireland,Pool,HOLLINGSWORTH Tahirah,,,GA,GA,24,7,9,78,6,8,3,,,,,,1,,,,,,
27,Trinidad and Tobago,Northern Ireland,Pool,MC EACHRANE Jeresia,,WD,GD,GK,45,,,,,,5,3,1,2,,2,5,5,,,,,1
27,Trinidad and Tobago,Northern Ireland,Pool,NOEL Afeisha,GS,GS,GS,GS,60,18,18,100,,,,,,,1,,,1,,,2,,
27,Trinidad and Tobago,Northern Ireland,Pool,SEEMUNGAL Shantel,C,,WA,WA,21,,,,2,8,1,1,1,1,,,,1,,,,1,1
27,Northern Ireland,Trinidad and Tobago,Pool,BOWMAN Jenna,,,,GS,15,4,8,50,,1,,,,,1,,,,1,,1,,
27,Northern Ireland,Trinidad and Tobago,Pool,COOPER Niamh,WD,WD,WD,WD,60,,,,1,1,8,1,1,1,,,,8,2,,1,,
27,Northern Ireland,Trinidad and Tobago,Pool,CROSBIE Ciara,GS,GS,GS,GS,45,27,34,79,,1,,,,,2,,,7,1,,2,1,
27,Northern Ireland,Trinidad and Tobago,Pool,DRAYNE Michelle,,,,WA,15,,,,4,5,4,,,,,,,1,1,,,1,
27,Northern Ireland,Trinidad and Tobago,Pool,KEENAN Frances,WA,WA,WA,C,49,,,,6,13,9,2,,2,,,5,4,,,,,2
27,Northern Ireland,Trinidad and Tobago,Pool,MAGEE Emma,GA,GA,GA,GA,54,8,14,57,4,7,14,1,1,3,,,3,7,,,1,,
27,Northern Ireland,Trinidad and Tobago,Pool,MAGEE Michelle,GK,GK,GK,GK,50,,,,,,,4,2,2,,1,1,7,4,,,,
27,Northern Ireland,Trinidad and Tobago,Pool,MCCANN Maria,,,,GD,4,,,,,,1,,,,,,,,,,,,
27,Northern Ireland,Trinidad and Tobago,Pool,MCDONALD Olivia,,,GK,GK,10,,,,,,,,,1,,,1,2,5,,,,
27,Northern Ireland,Trinidad and Tobago,Pool,MCGRATH Georgie,,,,GA,6,2,3,67,,,,,,,,,,,,,2,,
27,Northern Ireland,Trinidad and Tobago,Pool,O'HANLON Caroline,C,C,C,C,56,,,,26,42,,5,5,2,,,3,4,3,1,,,
27,Northern Ireland,Trinidad and Tobago,Pool,TONER Fionnuala,GD,GD,GD,GD,56,,,,,,,7,5,8,,,8,8,3,,,,
28,Malawi,Uganda,Pool,CHIMALIRO Jane,GA,GA,GA,GA,50,14,15,93,3,3,10,,,,,,1,5,2,,,1,
28,Malawi,Uganda,Pool,DAMBO Martha,WD,WD,WD,WD,60,,,,,,1,,,1,,,,14,2,,,,
28,Malawi,Uganda,Pool,DIMBA Shira,,,,,,,,,,,,,,,,,,,,,,,
28,Malawi,Uganda,Pool,GALLETA Thandie Mwale,WA,WA,,,23,,,,3,3,7,,,1,,,,1,,,1,,
28,Malawi,Uganda,Pool,KUMWENDA Bridget,,WA,WA,WA,37,,,,4,14,10,,,,,,,3,2,,,,
28,Malawi,Uganda,Pool,KUMWENDA Mwai Jasinta,GS,GS,GA,GS,55,22,23,96,1,3,2,,,1,1,,,3,1,,1,,
28,Malawi,Uganda,Pool,LWAZI Takondwa,C,C,C,C,60,,,,26,34,,,,1,,,1,7,2,2,,,
28,Malawi,Uganda,Pool,MTUKULE Caroline Brighton,,GD,GD,GD,22,,,,,,4,,,,,,,2,2,,1,,
28,Malawi,Uganda,Pool,MVULA Joyce,,,GS,GS,8,4,6,67,,,,,,,,,,1,,,,,
28,Malawi,Uganda,Pool,NGWIRA Loreen,GK,GK,,GK,38,,,,,,,,,2,,,,13,4,,,,
28,Malawi,Uganda,Pool,SIMTOWE Sindi,,,GA,GA,7,3,3,100,2,2,1,,,1,,,,,1,,1,,
28,Malawi,Uganda,Pool,VINKHUMBO Towera Angela,GD,GK,GK,GD,60,,,,1,2,10,3,2,1,,,4,14,,,1,,
28,Uganda,Malawi,Pool,ACHAN Jesca,C,C,C,,30,,,,7,10,,,,,,,1,1,,,,,
28,Uganda,Malawi,Pool,BAAGALA Margret,,,C,C,30,,,,13,14,,2,2,1,,,,7,1,1,1,,
28,Uganda,Malawi,Pool,CHOLHOK Mary Nuba,GS,GS,GS,GS,56,31,33,94,4,4,,,,,1,,,1,,,1,,
28,Uganda,Malawi,Pool,EYARU Irene,GA,GA,GA,GA,60,22,23,96,7,8,8,,,1,,,2,1,3,,,,2
28,Uganda,Malawi,Pool,HANIISHA Muhameed Nakaate,,,,,,,,,,,,,,,,,,,,,,,
28,Uganda,Malawi,Pool,LUNKUSE Norah,,,,WA,,,,,,1,,,,,,,,,,,,,
28,Uganda,Malawi,Pool,NALWANJA Shaffie,GK,GK,GK,GK,60,,,,,,,1,,2,,,4,8,4,,,,
28,Uganda,Malawi,Pool,NAMBIRIGE Sandra Ruth,WD,WD,WD,WD,61,,,,,,6,2,1,1,,,3,11,2,,,,
28,Uganda,Malawi,Pool,NAMPUNGU Joan,GD,GD,GD,GD,60,,,,,,10,1,1,2,,,3,12,2,,,,
28,Uganda,Malawi,Pool,NASSANGA Shadiah Ssegujja,,,,,1,,,,,,,,,,,,,,,,,,
28,Uganda,Malawi,Pool,OYELLA Stella,WA,WA,WA,WA,56,,,,20,30,24,2,,,,,3,2,,,,,
28,Uganda,Malawi,Pool,PEACE Proscovia,,,,GS,6,3,3,100,,,,,,,,,,,,,,,
29,South Africa,Scotland,Pool,CHAWANE Khanyisa,C,C,C,C,60,,,,16,19,,2,1,1,,,6,5,1,1,1,,
29,South Africa,Scotland,Pool,GRIESEL Izette,,,,,,,,,,,,,,,,,,,,,,,
29,South Africa,Scotland,Pool,MAWENI Phumza,GK,GK,GK,GK,58,,,,,,,8,2,7,,1,8,18,5,,,,
29,South Africa,Scotland,Pool,MDAU Tshina,,,,WD,2,,,,,,,1,,1,,,1,,,,,,
29,South Africa,Scotland,Pool,MSOMI Bongiwe,WA,WA,WA,WA,60,,,,26,32,18,3,3,,,,,6,,1,1,,
29,South Africa,Scotland,Pool,RADEMAN Lefebre,,,GA,GA,30,6,7,86,10,11,12,,,,,,1,1,1,,1,,
29,South Africa,Scotland,Pool,SMITH Nicola,GD,GD,GD,GK,60,,,,,,7,7,1,6,,3,3,7,15,,,,
29,South Africa,Scotland,Pool,TALJAARD Nichole,,,,,,,,,,,,,,,,,,,,,,,
29,South Africa,Scotland,Pool,VAN DER BERG Elmere,GA,GA,GA,GS,39,17,17,100,4,4,6,1,,,,,2,1,,,,,1
29,South Africa,Scotland,Pool,VAN DER MERWE Shadine,WD,WD,WD,WD,45,,,,,,7,1,,4,,,2,3,1,1,,,
29,South Africa,Scotland,Pool,VENTER Ine-Mari,GS,GS,GS,GS,51,42,44,95,6,6,,,,,1,,,,,,,,
29,South Africa,Scotland,Pool,VIMBELA Zanele,,,,GD,15,,,,,,1,1,,2,,,1,3,1,,,,
29,Scotland,South Africa,Pool,BARRIE Emma,,,GS,GS,23,12,14,86,,,,,,,,,,,,,1,,
29,Scotland,South Africa,Pool,BOYLE Kelly,,,C,C,30,,,,2,8,,1,1,,,,,3,,,,,
29,Scotland,South Africa,Pool,CHRISTIAN Iona,WA,WA,WA,,37,,,,10,19,16,,,1,,,2,1,,,,,
29,Scotland,South Africa,Pool,CONWAY Rachel Olive,GK,GK,GK,,37,,,,,,,5,3,2,,1,2,3,1,,,,
29,Scotland,South Africa,Pool,GOODWIN Beth,GS,GS,GS,GA,52,21,25,84,4,4,4,1,1,,,,3,1,,,1,,
29,Scotland,South Africa,Pool,LEIGHTON Hannah,C,C,C,WD,45,,,,7,10,1,,,1,,,1,2,1,,,,1
29,Scotland,South Africa,Pool,LOVE Emma,,,WA,WA,23,,,,7,9,10,,,1,,,,,,,1,,
29,Scotland,South Africa,Pool,MACPHAIL Sarah,,,GD,GD,30,,,,,,1,,,1,,,,4,6,,1,,
29,Scotland,South Africa,Pool,MAXWELL Claire,WD,WD,WD,WD,45,,,,,,4,2,2,1,,,,11,,,,,
29,Scotland,South Africa,Pool,MCCALL Niamh,GA,GA,GA,GA,45,13,15,87,14,18,15,1,,1,,,3,,,,1,,
29,Scotland,South Africa,Pool,NICHOLL Emily,GD,GD,GD,,30,,,,,,3,,,,,,,3,1,,,,
29,Scotland,South Africa,Pool,TAIT Lauren,,,GK,GK,23,,,,,,,1,,1,,,3,6,3,,,,
30,New Zealand,England,Pool,CRAMPTON Gina,WA,WA,WA,WA,46,,,,14,19,17,,,1,,,1,2,1,,2,,
30,New Zealand,England,Pool,FITZPATRICK Sulu,GD,GD,GD,GK,60,,,,,,3,1,,3,,1,2,5,3,,,,
30,New Zealand,England,Pool,HEFFERNAN Kate,,WD,C,WD,45,,,,3,4,4,2,2,,,,1,9,1,,,,
30,New Zealand,England,Pool,JOHNSON Kayla,WD,WD,WD,WD,31,,,,,,7,1,,3,,,2,7,2,,,,
30,New Zealand,England,Pool,JURY Kelly,GK,GK,GK,GK,45,,,,,,,1,1,2,,,4,6,2,,,,
30,New Zealand,England,Pool,KARAKA Phoenix,,,,GD,15,,,,,,2,1,,,,1,,1,2,,,,
30,New Zealand,England,Pool,MES Bailey,,,,,,,,,,,,,,,,,,,,,,,
30,New Zealand,England,Pool,NWEKE Grace,GS,GS,GS,GS,45,23,29,79,,,,,,,2,,,3,,,1,1,
30,New Zealand,England,Pool,SAUNDERS Shannon,,,WA,WA,14,,,,5,6,3,1,1,,,,,2,1,,1,,
30,New Zealand,England,Pool,SELBY-RICKIT Te Paea,,GA,GA,GS,45,13,13,100,8,9,4,,,,,,,,1,,1,,
30,New Zealand,England,Pool,SOUNESS Whitney,C,C,C,C,44,,,,10,14,,1,1,3,,,1,6,4,1,1,,
30,New Zealand,England,Pool,WILSON Maia,GA,GA,,GA,30,8,9,89,1,2,5,,,,,,1,2,,,,,1
30,England,New Zealand,Pool,ALLISON Imogen,,,,WD,15,,,,1,1,3,1,,1,,,2,3,,,,,
30,England,New Zealand,Pool,CARDWELL Eleanor,GS,GS,GS,GS,38,26,29,90,,,,,,1,2,,1,3,,,1,,
30,England,New Zealand,Pool,CLARKE Jade,C,C,C,,39,,,,12,25,,,,,,,1,9,,,1,,
30,England,New Zealand,Pool,DRAKEFORD-LEWIS Sophie,,,,,,,,,,,,,,,,,,,,,,,
30,England,New Zealand,Pool,FRANCIS-BAYMAN Stacey,WD,WD,WD,WD,34,,,,,,3,,,,,,,7,,,2,,
30,England,New Zealand,Pool,GUSCOTH Layla,GD,GD,GD,GD,60,,,,,,2,1,,2,,,3,6,7,,,,
30,England,New Zealand,Pool,HARTEN Joanne,,,GS,GS,22,5,6,83,1,1,,,,,,,,,,,,,
30,England,New Zealand,Pool,HOUSBY Helen,GA,GA,GA,GA,60,23,26,88,5,5,17,1,1,,,,4,2,1,,1,,
30,England,New Zealand,Pool,MALCOLM Laura,,WD,C,C,32,,,,10,22,1,,,1,,,,4,1,,1,,
30,England,New Zealand,Pool,MENTOR Geva,GK,GK,GK,GK,60,,,,,,,4,1,1,,1,4,17,1,,,,
30,England,New Zealand,Pool,METCALF Natalie,WA,WA,WA,WA,60,,,,25,46,21,,,1,,,4,7,1,,1,1,
30,England,New Zealand,Pool,USORO-BROWN Eboni,,,,,,,,,,,,,,,,,,,,,,,
31,Barbados,Trinidad and Tobago,Classification,AGARD Faye Yvette,,GS,GS,GS,36,14,19,74,1,1,,,,,,,2,1,,,,,
31,Barbados,Trinidad and Tobago,Classification,AZORE-BRUCE Shonette Teshome Rashan,GK,GK,GK,GK,60,,,,,,,3,1,6,,2,4,8,1,,,,
31,Barbados,Trinidad and Tobago,Classification,BLACKMAN Latonia Natasha Carolann,GA,GA,GA,GA,49,9,10,90,7,9,9,,,,,,4,,1,,2,,
31,Barbados,Trinidad and Tobago,Classification,BOBB Vanessa Naomi,,WD,WD,,21,,,,,,4,,,,,,1,6,1,,,,
31,Barbados,Trinidad and Tobago,Classification,BROWNE Samantha Terri-ann Olivia,WD,WD,,WA,24,,,,3,8,2,,,1,,,2,4,1,,2,,
31,Barbados,Trinidad and Tobago,Classification,HOLDER Brianna Makala,WA,GA,GA,,26,1,1,100,5,10,5,,,,,,,2,,,2,2,
31,Barbados,Trinidad and Tobago,Classification,KIRTON Zakiya Winet,,,WD,WD,16,,,,,,2,,,1,,,1,,1,,,,
31,Barbados,Trinidad and Tobago,Classification,ROCK-YAW Tonisha Claradine,C,GD,GD,GD,56,,,,2,5,3,3,,2,,1,4,12,6,,1,1,
31,Barbados,Trinidad and Tobago,Classification,SHEPHERD Stephian Onesia Briana,C,C,C,C,40,,,,6,14,,2,1,2,,,3,4,1,1,1,,
31,Barbados,Trinidad and Tobago,Classification,SMITH Sabreena Natasha,,WA,WA,WA,36,,,,5,10,7,,,,,,2,1,,,,,
31,Barbados,Trinidad and Tobago,Classification,STOUTE Akeena Kelicia,GD,WD,,GD,32,,,,,,6,1,1,1,,,3,5,4,,1,,
31,Barbados,Trinidad and Tobago,Classification,WHARTON Shonica Deandra,GS,GS,,GS,24,7,11,64,,1,,,,,,,,2,,,,,1
31,Trinidad and Tobago,Barbados,Classification,BAPTISTE Aniecia,GD,GD,GD,GD,60,,,,,,3,7,2,9,,2,4,14,4,,,1,
31,Trinidad and Tobago,Barbados,Classification,BRUNO Tia,,,,,,,,,,,,,,,,,,,,,,,
31,Trinidad and Tobago,Barbados,Classification,CASSIMY Janeisha,C,C,C,C,60,,,,25,42,,2,2,,,,,5,1,,1,,
31,Trinidad and Tobago,Barbados,Classification,COOPER Joelisa,GA,GA,GA,GA,60,25,31,81,18,21,13,1,,,,,5,4,1,,5,,
31,Trinidad and Tobago,Barbados,Classification,DILLON Tianna,,,,,,,,,,,,,,,,,,,,,,,
31,Trinidad and Tobago,Barbados,Classification,DOUGLAS Oprah,,,,,,,,,,,,,,,,,,,,,,,
31,Trinidad and Tobago,Barbados,Classification,GREENE-NOEL Shaquanda,GK,GK,GK,GK,60,,,,,,,12,5,8,,5,5,6,3,,,,
31,Trinidad and Tobago,Barbados,Classification,HAGLEY Faith,,,,,,,,,,,,,,,,,,,,,,,
31,Trinidad and Tobago,Barbados,Classification,HOLLINGSWORTH Tahirah,,,,,,,,,,,,,,,,,,,,,,,
31,Trinidad and Tobago,Barbados,Classification,MC EACHRANE Jeresia,WD,WD,WD,WD,60,,,,,,3,3,1,3,,,4,11,1,,1,1,
31,Trinidad and Tobago,Barbados,Classification,NOEL Afeisha,GS,GS,GS,GS,60,38,43,88,2,4,,1,,,6,,1,3,,,3,,
31,Trinidad and Tobago,Barbados,Classification,SEEMUNGAL Shantel,WA,WA,WA,WA,60,,,,17,34,25,,,1,,,7,1,,,,,
32,Scotland,Northern Ireland,Classification,BARRIE Emma,,,,,,,,,,,,,,,,,,,,,,,
32,Scotland,Northern Ireland,Classification,BOYLE Kelly,,,,C,6,,,,1,4,,,,,,,,,,,,,
32,Scotland,Northern Ireland,Classification,CHRISTIAN Iona,WA,WA,WA,WA,60,,,,13,23,11,1,1,,,,1,4,,,2,,
32,Scotland,Northern Ireland,Classification,CONWAY Rachel Olive,GK,GK,GK,GK,60,,,,,,,3,1,3,,1,3,5,2,,,,
32,Scotland,Northern Ireland,Classification,GOODWIN Beth,GS,GS,GS,GS,60,23,27,85,4,5,,,,1,,,,,,,,,
32,Scotland,Northern Ireland,Classification,LEIGHTON Hannah,C,C,C,C,54,,,,12,21,,,,4,,,,2,1,,,,2
32,Scotland,Northern Ireland,Classification,LOVE Emma,,,,,,,,,,,,,,,,,,,,,,,
32,Scotland,Northern Ireland,Classification,MACPHAIL Sarah,,,,,,,,,,,,,,,,,,,,,,,
32,Scotland,Northern Ireland,Classification,MAXWELL Claire,WD,WD,WD,WD,60,,,,,1,8,3,1,1,,,4,8,1,,,,
32,Scotland,Northern Ireland,Classification,MCCALL Niamh,GA,GA,GA,GA,60,20,26,77,11,13,15,,,1,,,5,2,1,,1,,
32,Scotland,Northern Ireland,Classification,NICHOLL Emily,GD,GD,GD,GD,60,,,,,,3,4,2,5,,1,2,8,7,,,,
32,Scotland,Northern Ireland,Classification,TAIT Lauren,,,,,,,,,,,,,,,,,,,,,,,
32,Northern Ireland,Scotland,Classification,BOWMAN Jenna,,,GS,GS,15,4,8,50,,1,,,,1,2,,1,1,,,,1,
32,Northern Ireland,Scotland,Classification,COOPER Niamh,WD,WD,WD,C,32,,,,1,2,3,,,,,,,3,1,,,,
32,Northern Ireland,Scotland,Classification,CROSBIE Ciara,GS,GS,GS,GA,45,17,24,71,,2,,,,,2,,,4,,,,,
32,Northern Ireland,Scotland,Classification,DRAYNE Michelle,,WA,C,WA,36,,,,3,11,3,,,,,,2,3,2,,,,
32,Northern Ireland,Scotland,Classification,KEENAN Frances,WA,WA,,,22,,,,3,5,2,,,,,,,2,,,1,,
32,Northern Ireland,Scotland,Classification,MAGEE Emma,GA,GA,GA,GS,60,12,17,71,11,14,9,,,,1,,3,5,1,,1,,1
32,Northern Ireland,Scotland,Classification,MAGEE Michelle,GK,GK,GD,GD,60,,,,,,6,4,,4,,1,4,5,7,,,,
32,Northern Ireland,Scotland,Classification,MCCANN Maria,,,,,,,,,,,,,,,,,,,,,,,
32,Northern Ireland,Scotland,Classification,MCDONALD Olivia,,,GK,GK,30,,,,,,,2,,4,,1,2,4,6,,,,
32,Northern Ireland,Scotland,Classification,MCGRATH Georgie,,,,,,,,,,,,,,,,,,,,,,,
32,Northern Ireland,Scotland,Classification,O'HANLON Caroline,C,C,WA,WA,60,,,,13,30,5,1,,3,,,3,7,,1,2,1,
32,Northern Ireland,Scotland,Classification,TONER Fionnuala,GD,GD,WD,WD,60,,,,,1,7,10,4,2,,2,6,10,6,2,,1,1
33,Wales,Malawi,Classification,CREAK Betsy,GA,GA,GA,,37,8,10,80,10,11,6,,,,,,2,3,,,,,
33,Wales,Malawi,Classification,DRANE Suzy,C,C,C,,42,,,,7,13,,1,,2,,,2,2,2,,,,
33,Wales,Malawi,Classification,DYKE Bethan,WA,WA,WA,WA,60,,,,22,38,21,,,,,,5,8,,,2,,
33,Wales,Malawi,Classification,JONES Clare,,,C,C,18,,,,1,4,,,,1,,,,1,,,,,
33,Wales,Malawi,Classification,JONES Nia,WD,WD,WD,WD,60,,,,3,3,23,,,1,,,,15,1,,,,
33,Wales,Malawi,Classification,O'DWYER Shona,,,,,,,,,,,,,,,,,,,,,,,
33,Wales,Malawi,Classification,POWELL-DAVIES Ella,GD,GD,GD,GD,60,,,,,,1,3,2,,,1,,14,2,,,,
33,Wales,Malawi,Classification,ROBERTS Eleanor,,,GA,GA,23,1,2,50,9,10,4,,,,,,,,,,,,
33,Wales,Malawi,Classification,ROWE Georgia,GS,GS,GS,GS,60,47,49,96,2,2,,,,,,,,3,,,,1,
33,Wales,Malawi,Classification,SHAW Christina,GK,GK,GK,GK,41,,,,,,,1,1,,,,1,4,,,,,
33,Wales,Malawi,Classification,THOMAS Leila,,,GK,GK,19,,,,,,,,,,,,,4,5,,,,
33,Wales,Malawi,Classification,YARRANTON Phillipa,,,,,,,,,,,,,,,,,,,,,,,
33,Malawi,Wales,Classification,CHIMALIRO Jane,WA,WA,WA,WA,60,3,4,75,16,27,7,,,1,,,,10,,,,,
33,Malawi,Wales,Classification,DAMBO Martha,WD,WD,WD,WD,60,,,,,,12,,,1,,,1,5,2,,,,
33,Malawi,Wales,Classification,DIMBA Shira,,,,C,1,,,,,,,,,,,,,,,,,,1
33,Malawi,Wales,Classification,GALLETA Thandie Mwale,,,,,,,,,,,,,,,,,,,,,,,
33,Malawi,Wales,Classification,KUMWENDA Bridget,WA,,,,12,,,,2,4,1,1,1,,,,,1,,,,,
33,Malawi,Wales,Classification,KUMWENDA Mwai Jasinta,GS,GS,GS,GS,60,49,50,98,,1,,,,,1,,,1,,,1,,
33,Malawi,Wales,Classification,LWAZI Takondwa,C,C,C,C,59,,,,28,36,1,1,,,,,3,5,2,,,,1
33,Malawi,Wales,Classification,MTUKULE Caroline Brighton,GD,GD,GD,GD,54,,,,,1,17,1,,3,,,1,9,4,,,,1
33,Malawi,Wales,Classification,MVULA Joyce,,,,,,,,,,,,,,,,,,,,,,,
33,Malawi,Wales,Classification,NGWIRA Loreen,,,,GK,6,,,,,,,1,1,1,,,,1,1,,,,
33,Malawi,Wales,Classification,SIMTOWE Sindi,GA,GA,GA,GA,48,10,11,91,14,19,15,,,,1,,,,2,,,,
33,Malawi,Wales,Classification,VINKHUMBO Towera Angela,GK,GK,GK,GD,60,,,,,,3,6,3,7,,1,4,13,4,,,,
34,South Africa,Uganda,Classification,CHAWANE Khanyisa,C,C,C,C,51,,,,11,13,,,,,,,1,5,2,,2,,1
34,South Africa,Uganda,Classification,GRIESEL Izette,,WA,WA,WA,39,,,,15,18,18,1,1,1,,,4,2,,,1,,
34,South Africa,Uganda,Classification,MAWENI Phumza,GK,GK,GK,GK,60,,,,,,,,,3,,,,14,8,,,,
34,South Africa,Uganda,Classification,MDAU Tshina,,,WD,WD,24,,,,1,1,2,,,1,,,,11,2,,,,
34,South Africa,Uganda,Classification,MSOMI Bongiwe,WA,C,C,,30,,,,11,13,9,1,,1,,,1,2,1,,,,
34,South Africa,Uganda,Classification,RADEMAN Lefebre,,GA,GA,,19,6,7,86,,,3,,,,,,,5,1,,,,
34,South Africa,Uganda,Classification,SMITH Nicola,GD,GD,,,15,,,,,,2,,,1,,,,2,3,,,,
34,South Africa,Uganda,Classification,TALJAARD Nichole,,,,,,,,,,,,,,,,,,,,,,,
34,South Africa,Uganda,Classification,VAN DER BERG Elmere,GA,GA,GA,GA,41,17,18,94,4,5,6,,,2,2,,1,7,1,,,,
34,South Africa,Uganda,Classification,VAN DER MERWE Shadine,WD,WD,GD,GD,60,,,,,,6,4,2,,,1,1,15,3,,,,
34,South Africa,Uganda,Classification,VENTER Ine-Mari,GS,GS,GS,GS,60,25,29,86,5,5,,1,1,,,,,,,,2,,
34,South Africa,Uganda,Classification,VIMBELA Zanele,,GD,GD,WD,21,,,,,,2,,,,,,,7,3,,,,
34,Uganda,South Africa,Classification,ACHAN Jesca,C,C,C,,43,,,,15,13,,1,,1,,,1,5,,,,,
34,Uganda,South Africa,Classification,BAAGALA Margret,,,C,C,17,,,,4,5,,,,,,,,3,,,,,
34,Uganda,South Africa,Classification,CHOLHOK Mary Nuba,GS,GS,GS,GS,60,31,35,89,1,1,,,,,2,,,2,,,,,
