matchNo,team,opponent,matchType,surname,givenNames,courtPosition_Q1,courtPosition_Q2,courtPosition_Q3,courtPosition_Q4,minutesPlayed,goalsScored,goalsAttempted,goalsMissed,shootingPer,goalAssists,feeds,centrePassReceives,gains,intercepts,deflections,attackingRebounds,defensiveRebounds,totalRebounds,pickups,contactPenalties,obstructionPenalties,totalPenalties,offsides,badHands,footwork,otherError,totalErrors
1,England,Trinidad and Tobago,Pool,METCALF,Natalie,WA,WA,WA,WA,45.0,0.0,0.0,0.0,0.0,19.0,32.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,5.0,0.0,1.0,0.0,0.0,1.0
1,England,Trinidad and Tobago,Pool,USORO-BROWN,Eboni,I,I,GK,GK,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,1.0,1.0,5.0,3.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0
1,Trinidad and Tobago,England,Pool,BAPTISTE,Aniecia,GD,GD,GD,GD,54.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,2.0,2.0,6.0,0.0,0.0,0.0,0.0,4.0,6.0,10.0,0.0,1.0,1.0,0.0,2.0
1,Trinidad and Tobago,England,Pool,BRUNO,Tia,I,I,I,I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Trinidad and Tobago,England,Pool,CASSIMY,Janeisha,WD,C,WD,WD,60.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0,2.0,0.0,0.0,2.0,4.0
1,Trinidad and Tobago,England,Pool,COOPER,Joelisa,GA,GA,GA,GA,55.0,10.0,13.0,3.0,76.92307692307693,8.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,4.0
1,Trinidad and Tobago,England,Pool,DILLON,Tianna,I,I,I,I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Trinidad and Tobago,England,Pool,DOUGLAS,Oprah,C,C,C,C,47.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,2.0
1,Trinidad and Tobago,England,Pool,GREENE,Shaquanda,GK,GK,GK,GK,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,4.0,0.0,5.0,5.0,8.0,15.0,8.0,23.0,0.0,0.0,0.0,2.0,2.0
1,Trinidad and Tobago,England,Pool,HAGLEY,Faith,I,WA,I,I,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
1,Trinidad and Tobago,England,Pool,HOLLINGSWORTH,Tahirah,I,GA,GA,I,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Trinidad and Tobago,England,Pool,MCEACHRANE,Jeresia,I,WD,WD,GD,19.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,4.0,1.0,5.0,0.0,2.0,0.0,0.0,2.0
1,Trinidad and Tobago,England,Pool,NOEL,Afeisha,GS,GS,GS,GS,56.0,12.0,15.0,3.0,80.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,0.0,2.0
1,Trinidad and Tobago,England,Pool,SEEMUNGAL,Shantel,WA,WA,WA,WA,53.0,0.0,0.0,0.0,0.0,7.0,14.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,4.0
2,Australia,Barbados,Pool,ARYANG,Sunday,I,I,WD,WD,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
2,Australia,Barbados,Pool,AUSTIN,Kiera,I,I,GA,WA,30.0,6.0,6.0,0.0,100.0,17.0,20.0,11.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
2,Australia,Barbados,Pool,BRAZILL,Ashleigh,WD,WD,C,C,45.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,3.0,3.0,3.0,0.0,0.0,0.0,1.0,4.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0
2,Australia,Barbados,Pool,BRUCE,Courtney,GK,GK,GD,GD,45.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,4.0,2.0,0.0,3.0,3.0,5.0,6.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0
2,Australia,Barbados,Pool,BUETA,Gretel,GS,GS,GS,I,30.0,44.0,48.0,4.0,91.66666666666666,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
2,Australia,Barbados,Pool,HADLEY,Paige,I,I,I,I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Australia,Barbados,Pool,KLAU,Sarah,I,I,GK,GK,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,3.0,0.0,2.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Australia,Barbados,Pool,KOENEN,Cara,I,I,GS,GS,30.0,35.0,38.0,3.0,92.10526315789474,1.0,3.0,0.0,2.0,1.0,1.0,2.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0
2,Australia,Barbados,Pool,MOLONEY,Kate,C,C,C,C,45.0,0.0,0.0,0.0,0.0,14.0,32.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,1.0,9.0,3.0,12.0,1.0,0.0,0.0,0.0,1.0
2,Australia,Barbados,Pool,WATSON,Liz,WA,WA,WA,WA,45.0,0.0,0.0,0.0,0.0,29.0,47.0,24.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0
2,Australia,Barbados,Pool,WESTON,Joanna,GD,GD,GD,GD,45.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,6.0,4.0,2.0,0.0,1.0,1.0,1.0,2.0,4.0,6.0,1.0,0.0,0.0,0.0,1.0
2,Australia,Barbados,Pool,WOOD,Steph,GA,GA,GA,GA,45.0,10.0,15.0,5.0,66.66666666666666,27.0,29.0,13.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Barbados,Australia,Pool,AGARD,Faye Yvette,I,GK,GS,GS,33.0,4.0,7.0,3.0,57.14285714285714,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,4.0,4.0,8.0,0.0,2.0,1.0,0.0,3.0
2,Barbados,Australia,Pool,AZORE-BRUCE,Shonette Teshome Rashan,GK,GK,GK,GK,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,3.0,0.0,4.0,4.0,4.0,9.0,4.0,13.0,0.0,0.0,0.0,0.0,0.0
2,Barbados,Australia,Pool,BLACKMAN,Latonia Natasha Carolann,GD,GA,GA,GA,60.0,6.0,8.0,2.0,75.0,3.0,6.0,12.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,3.0,2.0,0.0,5.0
2,Barbados,Australia,Pool,BOBB,Vanessa Naomi,WD,WD,WD,I,30.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
2,Barbados,Australia,Pool,BROWNE,Samantha Terri-ann Olivia,WA,WA,WD,WD,30.0,0.0,0.0,0.0,0.0,2.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
2,Barbados,Australia,Pool,HOLDER,Brianna Makala,GA,WA,WA,GS,49.0,2.0,3.0,1.0,66.66666666666666,5.0,16.0,9.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,2.0,1.0,1.0,0.0,4.0
2,Barbados,Australia,Pool,KIRTON,Zakiya Winet,I,I,I,WD,15.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2,Barbados,Australia,Pool,ROCK-YAW,Tonisha Claradine,C,C,C,C,60.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,6.0,0.0,6.0,0.0,3.0,1.0,0.0,4.0
2,Barbados,Australia,Pool,SHEPHERD,Stephian Onesia Briana,I,I,I,I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Barbados,Australia,Pool,SMITH,Sabreena Natasha,I,I,I,WA,15.0,0.0,0.0,0.0,0.0,2.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0
2,Barbados,Australia,Pool,STOUTE,Akeena Kelicia,I,GD,GD,GD,45.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,1.0,2.0,0.0,1.0,1.0,0.0,12.0,2.0,14.0,0.0,3.0,0.0,0.0,3.0
2,Barbados,Australia,Pool,WHARTON,Shonica Deandra,GS,GS,GS,I,37.0,6.0,13.0,7.0,46.15384615384615,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0
3,New Zealand,Northern Ireland,Pool,CRAMPTON,Gina,WA,WA,WA,WA,30.0,0.0,0.0,0.0,0.0,18.0,20.0,9.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
3,New Zealand,Northern Ireland,Pool,FITZPATRICK,Sulu,GK,GD,GD,GK,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,4.0,4.0,5.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0
3,New Zealand,Northern Ireland,Pool,HEFFERNAN,Kate,I,WD,C,C,30.0,0.0,0.0,0.0,0.0,9.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
3,New Zealand,Northern Ireland,Pool,JOHNSON,Kayla,WD,WD,WD,WD,45.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,2.0,0.0,0.0,0.0,3.0,7.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0
3,New Zealand,Northern Ireland,Pool,JURY,Kelly,I,GK,GK,GK,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,3.0,0.0,0.0,0.0,3.0,6.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0
3,New Zealand,Northern Ireland,Pool,KARAKA,Phoenix,GD,GD,GD,GD,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,7.0,5.0,12.0,0.0,0.0,0.0,0.0,0.0
3,New Zealand,Northern Ireland,Pool,MES,Bailey,I,GA,GA,GA,30.0,5.0,13.0,8.0,38.46153846153847,13.0,13.0,6.0,0.0,0.0,1.0,5.0,0.0,5.0,2.0,3.0,3.0,6.0,0.0,0.0,0.0,1.0,1.0
3,New Zealand,Northern Ireland,Pool,NWEKE,Grace,GS,GS,GS,GS,30.0,29.0,31.0,2.0,93.54838709677419,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3,New Zealand,Northern Ireland,Pool,SAUNDERS,Shannon,C,WA,WA,WA,45.0,0.0,0.0,0.0,0.0,13.0,21.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
3,New Zealand,Northern Ireland,Pool,SELBY-RICKIT,Te Paea,GA,GA,I,GS,30.0,25.0,27.0,2.0,92.5925925925926,3.0,4.0,4.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,New Zealand,Northern Ireland,Pool,SOUNESS,Whitney,I,C,C,C,30.0,0.0,0.0,0.0,0.0,13.0,19.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,1.0,4.0,0.0,0.0,0.0,2.0,2.0
3,New Zealand,Northern Ireland,Pool,WILSON,Maia,I,GS,GA,GA,30.0,20.0,22.0,2.0,90.9090909090909,6.0,7.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3,Northern Ireland,New Zealand,Pool,BOWMAN,Jenna,I,GS,GS,GS,29.0,4.0,7.0,3.0,57.14285714285714,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0
3,Northern Ireland,New Zealand,Pool,COOPER,Niamh,WD,WD,C,WD,51.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0
3,Northern Ireland,New Zealand,Pool,CROSBIE,Ciara,GS,GS,GS,GS,42.0,9.0,16.0,7.0,56.25,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,4.0,0.0,0.0,0.0,1.0,1.0
3,Northern Ireland,New Zealand,Pool,DRAYNE,Michelle,I,WA,WA,WA,30.0,0.0,0.0,0.0,0.0,5.0,13.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,3.0
3,Northern Ireland,New Zealand,Pool,KEENAN,Frances,WA,WA,I,C,30.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,4.0,0.0,0.0,1.0,0.0,1.0
3,Northern Ireland,New Zealand,Pool,MAGEE,Emma,GA,GA,WA,GA,42.0,6.0,10.0,4.0,60.0,2.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,1.0,0.0,0.0,0.0,1.0
3,Northern Ireland,New Zealand,Pool,MAGEE,Michelle,GK,GK,GD,GD,57.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,11.0,7.0,18.0,0.0,0.0,0.0,0.0,0.0
3,Northern Ireland,New Zealand,Pool,MCCANN,Maria,I,I,WD,GD,18.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0
3,Northern Ireland,New Zealand,Pool,MCDONALD,Olivia,I,I,GK,GK,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,10.0,13.0,0.0,0.0,0.0,0.0,0.0
3,Northern Ireland,New Zealand,Pool,MCGRATH,Georgie,I,I,GA,GA,16.0,1.0,3.0,2.0,33.33333333333333,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0
3,Northern Ireland,New Zealand,Pool,O'HANLON,Caroline,C,C,C,C,45.0,0.0,0.0,0.0,0.0,4.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,8.0,0.0,1.0,0.0,0.0,1.0
3,Northern Ireland,New Zealand,Pool,TONER,Fionnuala,GD,GD,GD,I,30.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,11.0,0.0,11.0,1.0,1.0,0.0,0.0,2.0
4,Jamaica,Wales,Pool,BECKFORD,Shanice Horasha,I,GA,GA,GA,30.0,8.0,12.0,4.0,66.66666666666666,10.0,11.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Jamaica,Wales,Pool,DEHANEY,Kadie-ann Alicia,I,I,GK,GK,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,4.0,3.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0
4,Jamaica,Wales,Pool,DIXON-ROCHESTER,Nicole,C,C,C,C,45.0,0.0,0.0,0.0,0.0,17.0,22.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,10.0,2.0,12.0,0.0,2.0,0.0,0.0,2.0
4,Jamaica,Wales,Pool,FOWLER,Jhaniele Karyl,GS,GS,GS,I,30.0,32.0,33.0,1.0,96.96969696969697,3.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
4,Jamaica,Wales,Pool,HEMMINGS,Shadian Toni-ann,WD,WD,I,WD,30.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0
4,Jamaica,Wales,Pool,NELSON,Shimona,I,I,GS,GS,30.0,29.0,29.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
4,Jamaica,Wales,Pool,ROBINSON,Rebekah Theresa,GA,GA,I,GA,30.0,3.0,5.0,2.0,60.0,12.0,12.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0,4.0
4,Jamaica,Wales,Pool,STERLING,Shamera Shadae,GK,GK,GK,I,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,5.0,0.0,1.0,1.0,7.0,1.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0
4,Jamaica,Wales,Pool,THOMAS,Adean Tamesha,I,I,WA,C,30.0,0.0,0.0,0.0,0.0,6.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,0.0,1.0,1.0,0.0,2.0
4,Jamaica,Wales,Pool,WARD,Jodi-Ann,GD,WD,WD,WD,45.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,2.0,6.0,4.0,10.0,0.0,1.0,0.0,0.0,1.0
4,Jamaica,Wales,Pool,WILLIAMS,Khadijah Amoy,WA,WA,WA,WA,45.0,0.0,0.0,0.0,0.0,22.0,24.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,4.0,1.0,2.0,0.0,0.0,3.0
4,Jamaica,Wales,Pool,WILSON,Latanya Amoy,I,GD,GD,GD,45.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,4.0,7.0,0.0,2.0,2.0,0.0,4.0,3.0,7.0,0.0,0.0,0.0,1.0,1.0
4,Wales,Jamaica,Pool,CREAK,Betsy,GA,GA,GS,GS,60.0,22.0,27.0,5.0,81.48148148148148,5.0,7.0,10.0,1.0,0.0,2.0,1.0,0.0,1.0,5.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,4.0
4,Wales,Jamaica,Pool,DRANE,Suzy,C,C,C,I,30.0,0.0,0.0,0.0,0.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,2.0
4,Wales,Jamaica,Pool,DYKE,Bethan,WA,WA,C,I,43.0,0.0,0.0,0.0,0.0,13.0,17.0,12.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,6.0,2.0,8.0,1.0,1.0,0.0,0.0,2.0
4,Wales,Jamaica,Pool,JONES,Clare,I,I,C,C,17.0,0.0,0.0,0.0,0.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0
4,Wales,Jamaica,Pool,JONES,Nia,WD,WD,WD,WD,60.0,0.0,0.0,0.0,0.0,1.0,1.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,7.0,2.0,9.0,0.0,3.0,0.0,0.0,3.0
4,Wales,Jamaica,Pool,O'DWYER,Shona,I,I,WA,WA,30.0,0.0,0.0,0.0,0.0,10.0,17.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
4,Wales,Jamaica,Pool,POWELL-DAVIES,Ella,GD,GD,GD,GD,45.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,9.0,11.0,20.0,0.0,0.0,0.0,0.0,0.0
4,Wales,Jamaica,Pool,ROBERTS,Eleanor,I,I,GA,GA,22.0,3.0,5.0,2.0,60.0,3.0,4.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
4,Wales,Jamaica,Pool,ROWE,Georgia,GS,GS,GS,I,38.0,18.0,19.0,1.0,94.73684210526315,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,1.0,1.0,0.0,2.0
4,Wales,Jamaica,Pool,SHAW,Christina,GK,GK,GK,GD,60.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,5.0,7.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0
4,Wales,Jamaica,Pool,THOMAS,Leila,I,I,I,GK,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0
4,Wales,Jamaica,Pool,YARRANTON,Phillipa,I,I,I,I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Australia,Scotland,Pool,ARYANG,Sunday,GD,GD,GD,GD,45.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,2.0,3.0,0.0,5.0,5.0,0.0,6.0,0.0,6.0,0.0,1.0,0.0,0.0,1.0
5,Australia,Scotland,Pool,AUSTIN,Kiera,GA,GA,GA,WA,45.0,10.0,13.0,3.0,76.92307692307693,13.0,13.0,12.0,2.0,0.0,0.0,1.0,0.0,1.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0
5,Australia,Scotland,Pool,BRAZILL,Ashleigh,WD,WD,WD,C,45.0,0.0,0.0,0.0,0.0,7.0,9.0,5.0,2.0,1.0,4.0,0.0,0.0,0.0,3.0,2.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0
5,Australia,Scotland,Pool,BRUCE,Courtney,I,I,GK,GK,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,5.0,0.0,0.0,0.0,8.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0
5,Australia,Scotland,Pool,BUETA,Gretel,GS,GS,GA,GA,45.0,33.0,34.0,1.0,97.05882352941177,7.0,10.0,8.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
