matchNo,team,opponent,matchType,surname,givenNames,courtPosition_Q1,courtPosition_Q2,courtPosition_Q3,courtPosition_Q4,minutesPlayed,goalsScored,goalsAttempted,goalsMissed,shootingPer,goalAssists,feeds,centrePassReceives,gains,intercepts,deflections,attackingRebounds,defensiveRebounds,totalRebounds,pickups,contactPenalties,obstructionPenalties,totalPenalties,offsides,badHands,footwork,otherError,totalErrors
1,England,Trinidad and Tobago,Pool,ALLISON,Imogen,I,I,C,C,18.0,0.0,0.0,0.0,0.0,8.0,10.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,England,Trinidad and Tobago,Pool,CARDWELL,Eleanor,I,I,GS,GS,30.0,30.0,30.0,0.0,100.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0
1,England,Trinidad and Tobago,Pool,CLARKE,Jade,WD,WD,C,I,37.0,0.0,0.0,0.0,0.0,4.0,8.0,1.0,3.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
1,England,Trinidad and Tobago,Pool,DRAKEFORD-LEWIS,Sophie,I,I,WA,GA,30.0,3.0,4.0,1.0,75.0,12.0,16.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,3.0,1.0,4.0,0.0,0.0,1.0,1.0,2.0
1,England,Trinidad and Tobago,Pool,FRANCIS-BAYMAN,Stacey,I,WD,WD,GD,35.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,2.0,2.0,0.0,0.0,0.0,3.0,4.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0
1,England,Trinidad and Tobago,Pool,GUSCOTH,Layla,GD,GD,GD,GD,45.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,8.0,0.0,0.0,0.0,3.0,5.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0
1,England,Trinidad and Tobago,Pool,HARTEN,Joanne,GS,GS,GS,I,30.0,25.0,30.0,5.0,83.33333333333334,2.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,England,Trinidad and Tobago,Pool,HOUSBY,Helen,GA,GA,GA,GA,45.0,16.0,24.0,8.0,66.66666666666666,8.0,10.0,16.0,1.0,1.0,2.0,2.0,0.0,2.0,3.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0
1,England,Trinidad and Tobago,Pool,MALCOLM,Laura,C,C,C,WD,45.0,0.0,0.0,0.0,0.0,12.0,24.0,1.0,4.0,1.0,3.0,0.0,0.0,0.0,4.0,2.0,1.0,3.0,1.0,2.0,0.0,0.0,3.0
1,England,Trinidad and Tobago,Pool,MENTOR,Geva,GK,GK,GK,I,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,0.0,3.0,3.0,3.0,3.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0
