url,date,content,renderedContent,id,replyCount,retweetCount,likeCount,quoteCount,conversationId,lang,outlinks,hashtags,username
https://twitter.com/WestCoastFever/status/1444855783418593283,2021-10-04 13:43:57+11:00,"Something new is here...

@newbalance 

Find out more on our website - https://t.co/QH3SBygtWU https://t.co/JigD6ksWky","Something new is here...

@newbalance 

Find out more on our website - westcoastfever.com.au https://t.co/JigD6ksWky",1444855783418593283,0,3,31,0,1444855783418593283,en,['https://westcoastfever.com.au/'],,WestCoastFever
https://twitter.com/WestCoastFever/status/1444617868788654084,2021-10-03 21:58:34+11:00,"Our 2022 card set is complete and we are already counting down for next season!

Download the full set here: https://t.co/3e1df3WTt2

#SSNSignings #SSNTrade","Our 2022 card set is complete and we are already counting down for next season!

Download the full set here: bit.ly/3mnfw9g

#SSNSignings #SSNTrade",1444617868788654084,1,4,34,2,1444617868788654084,en,['https://bit.ly/3mnfw9g'],"['SSNSignings', 'SSNTrade']",WestCoastFever
https://twitter.com/WestCoastFever/status/1444564905856622593,2021-10-03 18:28:06+11:00,"We complete our defensive end with Sunday Aryang! 💚

Sunday took the SSN world by storm this year and we couldn't be happier that she has decided to re-sign with us!

2022, we are ready 👊

https://t.co/7q6DC3OSIW

#SSNSignings #SSNTrade https://t.co/VAJFizfwTM","We complete our defensive end with Sunday Aryang! 💚

Sunday took the SSN world by storm this year and we couldn't be happier that she has decided to re-sign with us!

2022, we are ready 👊

westcoastfever.com.au/news/sunday-ar…

#SSNSignings #SSNTrade https://t.co/VAJFizfwTM",1444564905856622593,0,6,113,2,1444564905856622593,en,['https://westcoastfever.com.au/news/sunday-aryang-re-signs-west-coast-fever'],"['SSNSignings', 'SSNTrade']",WestCoastFever
https://twitter.com/WestCoastFever/status/1444202627420475398,2021-10-02 17:28:33+10:00,"Card number nine is Stacey Francis-Bayman!

We would feel so lost without her and her game day braids, so we are stoked to have her back in the Fever green!

Read more - https://t.co/QH3SBygtWU

Only 1 more card until the collection is complete 😱

#SSNSignings #SSNTrade https://t.co/6Sotky94ZI","Card number nine is Stacey Francis-Bayman!

We would feel so lost without her and her game day braids, so we are stoked to have her back in the Fever green!

Read more - westcoastfever.com.au

Only 1 more card until the collection is complete 😱

#SSNSignings #SSNTrade https://t.co/6Sotky94ZI",1444202627420475398,1,7,160,5,1444202627420475398,en,['https://westcoastfever.com.au/'],"['SSNSignings', 'SSNTrade']",WestCoastFever
https://twitter.com/WestCoastFever/status/1443840146453897216,2021-10-01 17:28:10+10:00,"Our mid-court is complete with the re-signing of Emma Cosh! 💚

We are so excited that Coshy has decided to re-sign with us and we can’t wait to see what 2022 has in store for her.

Read more over on our website.

2 cards to go...

#SSNSignings #SSNTrade https://t.co/pmA9evKlBQ","Our mid-court is complete with the re-signing of Emma Cosh! 💚

We are so excited that Coshy has decided to re-sign with us and we can’t wait to see what 2022 has in store for her.

Read more over on our website.

2 cards to go...

#SSNSignings #SSNTrade https://t.co/pmA9evKlBQ",1443840146453897216,1,5,68,0,1443840146453897216,en,,"['SSNSignings', 'SSNTrade']",WestCoastFever
https://twitter.com/WestCoastFever/status/1443477744730337280,2021-09-30 17:28:07+10:00,"We are on a roll with our card collecting! 

Today we are excited to announce that mid court superstar Jess Anstiss has re-signed with us 💚

https://t.co/Re2YNvXHLw

7 down, 3 to go… Don’t know about you, but we are so keen to complete this collection😍

#SSNSignings #SSNTrade https://t.co/lpzONtgcj8","We are on a roll with our card collecting! 

Today we are excited to announce that mid court superstar Jess Anstiss has re-signed with us 💚

westcoastfever.com.au/news/jess-anst…

7 down, 3 to go… Don’t know about you, but we are so keen to complete this collection😍

#SSNSignings #SSNTrade https://t.co/lpzONtgcj8",1443477744730337280,2,8,67,0,1443477744730337280,en,['https://westcoastfever.com.au/news/jess-anstiss-re-signs-west-coast-fever'],"['SSNSignings', 'SSNTrade']",WestCoastFever
https://twitter.com/WestCoastFever/status/1443115402045710337,2021-09-29 17:28:18+10:00,"After a stunner of a first year with Fever in 2021, we are excited to announce that Sasha Glasgow has re-signed with us!

Read more - https://t.co/eqJ1c7d3xv

We are over half way through our collection and it’s looking goooood 😍

#SSNSignings #SSNTrade https://t.co/8xdRS4lzoK","After a stunner of a first year with Fever in 2021, we are excited to announce that Sasha Glasgow has re-signed with us!

Read more - westcoastfever.com.au/news/sasha-gla…

We are over half way through our collection and it’s looking goooood 😍

#SSNSignings #SSNTrade https://t.co/8xdRS4lzoK",1443115402045710337,1,6,97,1,1443115402045710337,en,['https://westcoastfever.com.au/news/sasha-glasgow-re-signs-west-coast-fever'],"['SSNSignings', 'SSNTrade']",WestCoastFever
https://twitter.com/WestCoastFever/status/1442752957699657729,2021-09-28 17:28:04+10:00,"We told you we were feeling lucky! We have found card number five, and it’s Alice Teague-Neeld! 💚

We couldn't imagine Fever without her and we are stoked that she has re-signed. 

Read more - https://t.co/0CjEbZOCmn

#SSNSignings #SSNTrade https://t.co/ppevlj7tBd","We told you we were feeling lucky! We have found card number five, and it’s Alice Teague-Neeld! 💚

We couldn't imagine Fever without her and we are stoked that she has re-signed. 

Read more - westcoastfever.com.au/news/alice-tea…

#SSNSignings #SSNTrade https://t.co/ppevlj7tBd",1442752957699657729,0,4,80,2,1442752957699657729,en,['https://westcoastfever.com.au/news/alice-teague-neeld-re-signs-west-coast-fever'],"['SSNSignings', 'SSNTrade']",WestCoastFever
https://twitter.com/WestCoastFever/status/1442390461054734338,2021-09-27 17:27:38+10:00,"Our long awaited card number four is Rudi Ellis! 💚

Rudi has signed with Fever after playing the last 2 seasons with the Queensland Firebirds.

We can’t wait to welcome Rudi to WA and to our Fever Family!

Read more - https://t.co/emEqI8MOrV

#SSNSignings #SSNTrade https://t.co/SBKLxKKZmD","Our long awaited card number four is Rudi Ellis! 💚

Rudi has signed with Fever after playing the last 2 seasons with the Queensland Firebirds.

We can’t wait to welcome Rudi to WA and to our Fever Family!

Read more - westcoastfever.com.au/news/west-coas…

#SSNSignings #SSNTrade https://t.co/SBKLxKKZmD",1442390461054734338,4,13,151,10,1442390461054734338,en,['https://westcoastfever.com.au/news/west-coast-fever-welcomes-rudi-ellis'],"['SSNSignings', 'SSNTrade']",WestCoastFever
https://twitter.com/WestCoastFever/status/1442301361257783299,2021-09-27 11:33:35+10:00,"Our collection looks like it could use some extra cards, wouldn’t you agree?

Feeling like we may get lucky and complete the set this week, but we will keep you updated with each card that we manage to collect 😉 #SSNSignings #SSNTrade","Our collection looks like it could use some extra cards, wouldn’t you agree?

Feeling like we may get lucky and complete the set this week, but we will keep you updated with each card that we manage to collect 😉 #SSNSignings #SSNTrade",1442301361257783299,4,1,79,2,1442301361257783299,en,,"['SSNSignings', 'SSNTrade']",WestCoastFever
https://twitter.com/WestCoastFever/status/1441399364987985932,2021-09-24 23:49:23+10:00,"🏆  The first ever Stacey Marinkovich Medal, formally the West Coast Fever MVP award, goes to Jhaniele Fowler. 

Congratulations Jhaniele!

#theNETball2021 https://t.co/9qRkWHTV7k","🏆  The first ever Stacey Marinkovich Medal, formally the West Coast Fever MVP award, goes to Jhaniele Fowler. 

Congratulations Jhaniele!

#theNETball2021 https://t.co/9qRkWHTV7k",1441399364987985932,2,4,115,4,1441399364987985932,en,,['theNETball2021'],WestCoastFever
https://twitter.com/WestCoastFever/status/1441388550570708996,2021-09-24 23:06:24+10:00,"🏆 This year’s Coach’s Award goes to Jess Anstiss.

Congratulations Jess!

#theNETball2021 https://t.co/0b2Vp9d6Yc","🏆 This year’s Coach’s Award goes to Jess Anstiss.

Congratulations Jess!

#theNETball2021 https://t.co/0b2Vp9d6Yc",1441388550570708996,0,3,37,0,1441388550570708996,en,,['theNETball2021'],WestCoastFever
https://twitter.com/WestCoastFever/status/1441388011778760714,2021-09-24 23:04:16+10:00,"🏆 This year’s West Coast Fever Player’s Player award goes to Jhaniele Fowler. 

Congratulations Jhaniele!

#theNETball2021 https://t.co/lQHxfG9THG","🏆 This year’s West Coast Fever Player’s Player award goes to Jhaniele Fowler. 

Congratulations Jhaniele!

#theNETball2021 https://t.co/lQHxfG9THG",1441388011778760714,0,3,42,0,1441388011778760714,en,,['theNETball2021'],WestCoastFever
https://twitter.com/WestCoastFever/status/1441387680223268876,2021-09-24 23:02:57+10:00,"🏆 This year’s West Coast Fever Fan’s Choice Award goes to Sunday Aryang!

Congratulations Sunday!

#theNETball2021 https://t.co/CmRZaFHnIw","🏆 This year’s West Coast Fever Fan’s Choice Award goes to Sunday Aryang!

Congratulations Sunday!

#theNETball2021 https://t.co/CmRZaFHnIw",1441387680223268876,0,2,62,0,1441387680223268876,en,,['theNETball2021'],WestCoastFever
https://twitter.com/WestCoastFever/status/1441386671862214671,2021-09-24 22:58:56+10:00,"🏆 Instead of presenting a single Club Person of the Year Award this season, Fever wishes to acknowledge the husbands, wives and partners of the players and staff, who remained at home and sacrificed their family time while the team spent more than a month in the Qld hub 💚 https://t.co/qkiqQMzSQF","🏆 Instead of presenting a single Club Person of the Year Award this season, Fever wishes to acknowledge the husbands, wives and partners of the players and staff, who remained at home and sacrificed their family time while the team spent more than a month in the Qld hub 💚 https://t.co/qkiqQMzSQF",1441386671862214671,2,4,118,6,1441386671862214671,en,,,WestCoastFever
https://twitter.com/WestCoastFever/status/1441256857402687497,2021-09-24 14:23:06+10:00,@MelbourneVixens Congratulations Liv! Best wishes with the next chapter of your career. We will always be among your biggest fans 💚,@MelbourneVixens Congratulations Liv! Best wishes with the next chapter of your career. We will always be among your biggest fans 💚,1441256857402687497,0,1,41,1,1441256795805130759,en,,,WestCoastFever
https://twitter.com/WestCoastFever/status/1441220472532701190,2021-09-24 11:58:31+10:00,"West Coast Fever thanks Olivia Lewis for her contribution to the club following confirmation that the young defender will be pursuing an opportunity at another club for the 2022 Suncorp Super Netball Season.

Read more over on our website - https://t.co/t2iTWHtUee https://t.co/NEgLIAM5N1","West Coast Fever thanks Olivia Lewis for her contribution to the club following confirmation that the young defender will be pursuing an opportunity at another club for the 2022 Suncorp Super Netball Season.

Read more over on our website - westcoastfever.com.au/news/west-coas… https://t.co/NEgLIAM5N1",1441220472532701190,5,4,107,6,1441220472532701190,en,['https://westcoastfever.com.au/news/west-coast-fever-thanks-olivia-lewis'],,WestCoastFever
https://twitter.com/WestCoastFever/status/1441017786927501315,2021-09-23 22:33:07+10:00,"We are proud to announce that West Coast Fever’s Most Valuable Player Award has been re-named the Stacey Marinkovich Medal to honour Stacey’s amazing legacy at the club.

Watch Stacey's emotional reaction to the news below.

https://t.co/xQKhIvWEFi","We are proud to announce that West Coast Fever’s Most Valuable Player Award has been re-named the Stacey Marinkovich Medal to honour Stacey’s amazing legacy at the club.

Watch Stacey's emotional reaction to the news below.

vimeo.com/612611212",1441017786927501315,8,8,92,7,1441017786927501315,en,['https://vimeo.com/612611212'],,WestCoastFever
https://twitter.com/WestCoastFever/status/1440492669805858830,2021-09-22 11:46:30+10:00,"Head Coach Dan Ryan has a chat to the media about getting stuck into his new role and the Fever signings for 2022 #SSNSignings #SSNTrade @DanRyan84 

https://t.co/Tw30umnmSd","Head Coach Dan Ryan has a chat to the media about getting stuck into his new role and the Fever signings for 2022 #SSNSignings #SSNTrade @DanRyan84 

vimeo.com/611257875",1440492669805858830,0,7,40,0,1440492669805858830,en,['https://vimeo.com/611257875'],"['SSNSignings', 'SSNTrade']",WestCoastFever
